arm,fusion,calibration,seed,auroc,auprc,brier,nll,ece,mce,cal_slope,cal_intercept,sensitivity,specificity,ppv,npv,f1,kappa,threshold
clinical,-,isotonic,0,0.5202702702702703,0.6071119545695818,0.24391493425115085,0.6826230035520813,0.171276483803999,0.6350092290423008,0.39691555737448253,0.17411528758366215,0.40540540540540543,0.5384615384615384,0.5555555555555556,0.3888888888888889,0.46875,-0.053097345132743445,0.581252932548523
clinical,-,uncalibrated,1,0.5694736842105264,0.7126165443564306,0.23935024967971544,0.6716390639778084,0.13420507264515708,0.38638653357823693,4.89035972731183,-0.15618658540785788,0.631578947368421,0.4,0.6153846153846154,0.4166666666666667,0.6233766233766234,0.031796502384737635,0.5178442597389221
clinical,-,temperature,1,0.5694736842105264,0.7126165443564306,0.23252669522571917,0.6569613996957222,0.10294305090712948,0.3196665965893884,2.4548799212813983,-0.1561538038517525,0.9210526315789473,0.2,0.6363636363636364,0.625,0.7526881720430108,0.136986301369863,0.5178442597389221
clinical,-,platt,1,0.5694736842105264,0.7126165443564306,0.23600562996648758,0.6646775584048672,0.04524247206831973,0.11786417319591347,7.472808124313601,-2.3375667885621585,1.0,0.0,0.6031746031746031,,0.7524752475247525,0.0,0.5178442597389221
clinical,-,isotonic,1,0.5726315789473684,0.6721865639709028,0.23081636021857238,0.6456291978357916,0.10585522627765773,0.5,0.7149377959169745,0.05947711755364202,1.0,0.12,0.6333333333333333,1.0,0.7755102040816326,0.1412639405204461,0.5178442597389221
clinical,-,uncalibrated,2,0.4979209979209979,0.6181293155105747,0.2544626987650339,0.7020903877330341,0.10617261131604512,0.15957949558893836,-2.057181840380207,0.1982998436322098,0.4594594594594595,0.5769230769230769,0.6071428571428571,0.42857142857142855,0.5230769230769231,0.03460207612456756,0.48446208238601685
clinical,-,temperature,2,0.4979209979209979,0.6181293155105747,0.2501988364135035,0.6935448553373913,0.08824622163379572,0.16631227509152358,-0.0018598205143947849,0.3527727147716844,1.0,0.0,0.5873015873015873,,0.74,0.0,0.48446208238601685
clinical,-,platt,2,0.4979209979209979,0.6181293155105747,0.2441464751355973,0.6814716101720758,0.04257177147223611,0.04967870878736791,-1.2134800626150195,0.8623348248465434,1.0,0.0,0.5873015873015873,,0.74,0.0,0.48446208238601685
clinical,-,isotonic,2,0.4901247401247401,0.592579433283052,0.2759248017801716,0.752769669213009,0.17648966920920284,0.7551192817333208,-0.06931449368632168,0.3880003888998681,0.7297297297297297,0.23076923076923078,0.574468085106383,0.375,0.6428571428571429,-0.04189636163175314,0.48446208238601685
clinical,-,uncalibrated,3,0.7089397089397088,0.7849906068888031,0.23361409463135224,0.6598395980541512,0.03253697119061911,0.2278774040085929,6.730757033096512,-1.4546615665491462,0.3783783783783784,0.8461538461538461,0.7777777777777778,0.4888888888888889,0.509090909090909,0.20253164556962022,0.58583003282547
clinical,-,temperature,3,0.7089397089397088,0.7849906068888031,0.23032603495504655,0.6525558991343826,0.1319536427681246,0.2942472815075985,4.72176382325654,-1.4545509392635294,0.6756756756756757,0.6153846153846154,0.7142857142857143,0.5714285714285714,0.6944444444444444,0.28776978417266175,0.58583003282547
clinical,-,platt,3,0.7089397089397088,0.7849906068888031,0.23342967312540672,0.6590267354140784,0.16046958442189665,0.17394372048485496,6.4645885525245665,-2.3001810434429255,0.8108108108108109,0.5384615384615384,0.7142857142857143,0.6666666666666666,0.759493670886076,0.3595505617977528,0.58583003282547
clinical,-,isotonic,3,0.6683991683991684,0.7014777134345833,0.23003512318035085,0.6526330311916682,0.07953115683381665,0.20000000596046447,0.7900479558814054,0.004959606289851568,0.6756756756756757,0.6153846153846154,0.7142857142857143,0.5714285714285714,0.6944444444444444,0.28776978417266175,0.58583003282547
clinical,-,uncalibrated,4,0.591995841995842,0.6520116140112722,0.24050105611372388,0.6740415320348974,0.0845703563046834,0.49853119254112244,0.8920194798498807,0.07506239211154057,0.1891891891891892,0.7692307692307693,0.5384615384615384,0.4,0.28,-0.03656307129798919,0.6170409917831421
clinical,-,temperature,4,0.591995841995842,0.6520116140112722,0.2422983598349549,0.6792444892981909,0.10057133717690048,0.49758107334273893,0.5418789284065246,0.07495866608272066,0.40540540540540543,0.6153846153846154,0.6,0.42105263157894735,0.4838709677419355,0.01945525291828787,0.6170409917831421
clinical,-,platt,4,0.591995841995842,0.6520116140112722,0.2427236477863803,0.6808757482440819,0.07952438802624913,0.4826133795282336,0.46046437432911674,0.1254911397792031,0.3783783783783784,0.6153846153846154,0.5833333333333334,0.41025641025641024,0.45901639344262296,-0.005805515239477588,0.6170409917831421
